,average,changeOverTime,close,date,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-04-12 10:21:00,127.608,-0.0016976334832779093,127.49,20190412,127.8,10:21 AM,127.44,127.625,-0.001947229303845936,127.46,127.8,127.44,28773030.686,1320,127.52,225449,1622285.505,121,127.515,12713
2019-04-12 10:22:00,127.314,-0.003997653041267435,127.36,20190412,127.48,10:22 AM,127.22,127.321,-0.00432456949809967,127.37,127.5,127.216,18160937.5774,802,127.48,142639,1630007.415,102,127.48,12803
2019-04-12 10:23:00,127.528,-0.0023234891453158386,127.485,20190412,127.74,10:23 AM,127.325,127.535,-0.002651047124513182,127.592,127.74,127.325,14359863.6354,602,127.38,112595,1114083.935,69,127.37,8736
2019-04-12 10:24:00,127.423,-0.003144924701740669,127.24,20190412,127.515,10:24 AM,127.23,127.395,-0.0037458748455510833,127.22,127.61,127.21,22000428.174,935,127.6,172695,2684801.82,86,127.48,21070
2019-04-12 10:25:00,127.456,-0.002886759241150008,127.54,20190412,127.63,10:25 AM,127.245,127.458,-0.003253202371084011,127.595,127.63,127.217,19115875.6012,755,127.217,149978,1425081.155,76,127.245,11181
2019-04-12 10:26:00,127.477,-0.002722472129865042,127.42,20190412,127.58,10:26 AM,127.37,127.479,-0.0030889782129283204,127.427,127.6,127.34,12963698.8225,536,127.6,101693,484921.99,42,127.58,3804
2019-04-12 10:27:00,127.359,-0.003645609231371079,127.35,20190412,127.44,10:27 AM,127.29,127.372,-0.003925739399721565,127.36,127.47,127.26,11385116.6014,558,127.43,89385,762117.615,50,127.4,5984
2019-04-12 10:28:00,127.209,-0.0048190885976921545,127.1,20190412,127.47,10:28 AM,126.935,127.153,-0.005638362763345085,127.05,127.47,126.9,32048988.2843,1159,127.36,252050,3105684.835,94,127.35,24414
2019-04-12 10:29:00,127.002,-0.006438490123215392,126.91,20190412,127.17,10:29 AM,126.91,127.038,-0.006537685534197714,126.91,127.19,126.9,19340025.6277,843,127.11,152238,1143530.175,76,127.11,9004
2019-04-12 10:30:00,127.019,-0.0063054957950322505,127.02,20190412,127.1,10:30 AM,126.88,127.007,-0.00678011167242747,127.01,127.12,126.88,19695980.3351,782,126.91,155078,1311086.405,78,126.92,10322
2019-04-12 10:31:00,126.977,-0.0066340700176021825,127.12,20190412,127.13,10:31 AM,126.87,126.997,-0.006858313652501645,127.11,127.13,126.86,21759984.8333,762,127.02,171343,1317515.54,47,127.02,10376
2019-04-12 10:32:00,127.071,-0.005898689614707646,127.24,20190412,127.24,10:32 AM,127.0,127.09,-0.006131035237812158,127.22,127.25,127.0,21385243.5557,757,127.1,168268,1274014.785,73,127.08,10026
2019-04-12 10:33:00,127.316,-0.0039820066497164115,127.35,20190412,127.38,10:33 AM,127.245,127.296,-0.004520074448284943,127.35,127.38,127.21,18417937.8856,783,127.22,144686,1622265.485,79,127.26,12742
2019-04-12 10:34:00,127.331,-0.003864658713084293,127.35,20190412,127.46,10:34 AM,127.24,127.337,-0.004199446329981012,127.35,127.46,127.225,14198422.3285,615,127.342,111503,535682.23,41,127.35,4207
2019-04-12 10:35:00,127.413,-0.0032231566594954518,127.35,20190412,127.45,10:35 AM,127.35,127.391,-0.0037771556375806644,127.37,127.45,127.33,9903848.9926,460,127.35,77744,767918.095,57,127.39,6027
2019-04-12 10:36:00,127.12,-0.0055153530217093545,127.1,20190412,127.33,10:36 AM,127.05,127.183,-0.00540375682312267,127.1,127.41,127.05,17725964.4989,664,127.32,139374,2045610.825,66,127.315,16092
2019-04-12 10:37:00,127.161,-0.005194601994914934,127.175,20190412,127.235,10:37 AM,127.085,127.176,-0.005458498209174604,127.21,127.24,127.08,11168208.4634,431,127.085,87817,772123.505,36,127.085,6072
2019-04-12 10:38:00,127.243,-0.004553099941326093,127.135,20190412,127.29,10:38 AM,127.12,127.225,-0.0050753085068114,127.135,127.3,127.11,10892663.9993,434,127.229,85617,1107011.84,47,127.235,8700
2019-04-12 10:39:00,126.98,-0.006610600430275759,126.97,20190412,127.13,10:39 AM,126.9,126.987,-0.006936515632575821,126.935,127.135,126.9,16179712.8877,700,127.135,127412,777877.28,49,127.13,6126
2019-04-12 10:40:00,126.901,-0.007228632896538288,126.9,20190412,126.995,10:40 AM,126.865,126.924,-0.0074291881070427815,126.9,127.02,126.86,12348960.3018,505,126.935,97294,1197569.1,42,126.91,9437
2019-04-12 10:41:00,126.828,-0.007799726188147857,126.75,20190412,126.945,10:41 AM,126.73,126.851,-0.00800006256158403,126.764,126.97,126.72,22000731.1229,760,126.9,173438,946899.15,58,126.9,7466
2019-04-12 10:42:00,126.716,-0.008675924115001047,126.77,20190412,126.79,10:42 AM,126.66,126.722,-0.009008868104540416,126.77,126.8,126.66,15084674.7258,627,126.741,119038,629270.12,39,126.76,4966
2019-04-12 10:43:00,126.719,-0.008652454527674623,126.715,20190412,126.77,10:43 AM,126.66,126.71,-0.009102710480629382,126.715,126.77,126.66,24659290.1301,501,126.75,194612,389914.365,36,126.73,3077
2019-04-12 10:44:00,126.599,-0.009591238020731462,126.54,20190412,126.71,10:44 AM,126.515,126.582,-0.010103695825578317,126.583,126.719,126.51,18920635.5398,657,126.715,149473,589826.335,56,126.71,4659
2019-04-12 10:45:00,126.521,-0.010201447291218479,126.57,20190412,126.61,10:45 AM,126.46,126.529,-0.010518166319971213,126.566,126.63,126.46,16583928.8557,652,126.58,131068,972063.33,66,126.54,7683
2019-04-12 10:46:00,126.749,-0.008417758654410386,126.77,20190412,126.87,10:46 AM,126.57,126.739,-0.008875924738414306,126.775,126.87,126.562,17790932.1371,663,126.57,140375,1008288.28,45,126.57,7955
